Month,Category2,Sentence
200404,movie/play/tv,"illustration colour selena forsyth, special to the evening guide / the cast of sleeping beauty at port hope united church.; colour photo submitted / malificent the morbid and the gritty-gritty goblins.; colour selena forsyth, special to the evening guide / dorothy hall with her daughters ann and joan and son-in-law ed hepburn celebrate dorothy's 90th birthday.; colour selena forsyth, special to the evening guide / (reprint from evening guide) dorothy and brian hall arrive in port hope by sailboat in 1970.; colour submitted / the rev."
200404,real beauty,"that's because, you see, the show doesn't want the audience to think that beauty is just skin deep."
200404,other,"while baby braeden may never have the pleasure of meeting his nana face-to-face, he can experience her beauty, strength and resilience through this article and learn just how wonderful a woman she truly was."
200404,movie/play/tv,"ron perlman, sewer-dweller in the beauty and the beast tv series, plays hellboy with a sense of humour that reflects the character-driven nature of graphic novels from which he is derived."
200405,magazine/book,"at first instyle was supposed to be an equal blend of celebrity, beauty, fashion and lifestyle coverage, but in recent years fashion and celebrity certainly have received more attention and those entries dominate the elements of style feature in june's special anniversary issue."
200405,other,time erodes all such beauty.
200405,magazine/book,"at first instyle was supposed to be an equal blend of celebrity, beauty, fashion and lifestyle coverage, but in recent years fashion and celebrity certainly have received more attention and those entries dominate the elements of style feature in june's special anniversary issue."
200405,real beauty,banderas says one of the main reasons he was so interested in being a part of shrek 2 was its focus on inner beauty instead of the silicone and trowel approach to happiness.
200405,real beauty,"""this whole concept of beauty, to me, is all about accepting who you are."
200405,other,"the woman is creole beauty pearl chavez (jennifer jones getting away with a surprising amount of sex appeal for 1946), the lusty half-breed daughter of a french gambler and a native woman (both with loose morals)."
200405,other,"and these,"" he said pointing to a weber beauty with stainless steel burners, ""are replacing stoves at the cottage."""
200405,product/service,"""in the last six or seven years, the consumer, and they are predominantly female although more men are joining them, have been looking for the beauty experience,"" said marc speir, executive director of the allied beauty association which represents 90 per cent of the hair products and services companies in canada."
200405,product/service,"the initiation to this cult is quite stringent, requiring obsessive use of each and every item in the small l.a.-based beauty line that started in 1999 and has grown to become one of the hottest indie brands on the market."
200405,product/service,"""in the last six or seven years, the consumer, and they are predominantly female although more men are joining them, have been looking for the beauty experience,"" said marc speir, executive director of the allied beauty association which represents 90 per cent of the hair products and services companies in canada."
200405,movie/play/tv,"groomed by columbia boss harry cohn, novak progressed from a striking beauty in films such as pushover and phfft to accomplished actress in picnic and vertigo."
200405,movie/play/tv,"groomed by columbia boss harry cohn, novak progressed from a striking beauty in films such as pushover and phfft to accomplished actress in picnic and vertigo."
200405,movie/play/tv,"groomed by columbia boss harry cohn, novak progressed from a striking beauty in films such as pushover and phfft to accomplished actress in picnic and vertigo."
200405,other,"full text: greedy for life, greedy for beauty: how strange it seems, that when i was truly vulnerable, i felt invincible and now that i am too crooked to fall flat, i tremble day by day at the thought of missing one night of glowing heavens."
200405,other,"this is the classic story from greek legend, about helen, the beauty whose face launched a thousand ships."
200405,physical beauty,"""it was something about the time it was released, and the name and the fact that the standard of beauty was really changing at the time,"" explains bartolucci, a mother of two."
200405,other,"if mma ramotswe and her friends continue to care for one another in village style, ignore western ideas of beauty, and celebrate life in their traditional way, it's all part of the perfect journey to a faraway place, and that's what the full cupboard of life delivers."
200405,other,"the performances, silent as they are, are believable and empathetic, but what really steals the show is the beauty of aboriginal myth and its relationship to the landscape."
200405,other,"after looking up in rapture, fall to your knees and drink up the beauty of the double bloodroot."
200405,other,"their smiling faces, their costumes and dance steps were all done with grace and beauty."
200405,other,"moore is always charismatic, as is her hunky eurotrash co-star, matthew goode, but all that beauty still isn't enough to make chasing liberty a standout."
200405,movie/play/tv,"although raymonda is the last ballet created by marius petipa, the giant of 19th century classical dance, it has never captured hearts as have sleeping beauty, the nutcracker or giselle."
200406,product/service,lynne taylor graduated in 1983 from norkam secondary and attended the headhunters school of beauty.
200406,pageant/fashion show/model,"despite its seeming incongruity with father's day, the date with the beauty queen is the hottest item being auctioned."
200406,pageant/fashion show/model,"despite its seeming incongruity with father's day, the date with the beauty queen is the hottest item being auctioned."
200406,magazine/book,"because i thoroughly enjoyed truth and beauty, ann patchett's new memoir describing her friendship with the distinctly damaged lucy grealy, i am now reading her oeuvre."
200406,pageant/fashion show/model,beauty queen dies in fight.
200406,pageant/fashion show/model,beauty queen dies after fight with contestants.
200406,other,this black beauty is a one-year-old spayed female who has been waiting for a new home for far too long.
200406,movie/play/tv,"onscreen, she's a beauty who is happy to deglamourize herself to play virginia woolf in the hours, for which she won an oscar, or stretch herself with a singing role in moulin rouge (she also sings and dances in the coming production of the producers, with stepford co-star matthew broderick)."
200406,other,"all the action takes place in the beauty shop, owned by truvy (susan brown)."
200406,product/service,eliot johnstone with her eliot's in-home salon (mobile beauty care for women over 50) came third and won $750.
200406,pageant/fashion show/model,"reality show the apprentice, was dropped as a judge at the beauty event."
200406,pageant/fashion show/model,jackson was disqualified monday by pageant organizers for greeting beauty queens he bumped into in the lobby of their hotel.
200406,pageant/fashion show/model,"reality show the apprentice, was dropped as a judge at the beauty event."
200407,other,potiphar's wife tempted joseph with her beauty.
200407,other,the superficial beauty of the body is a fleeting moment.
200407,magazine/book,that is not to say there are not moments of beauty and humanity in this book.
200407,magazine/book,"last weekend in the paper (not this one) i read a story written by a woman on the hunt for a millionaire husband who describes herself as ""a beauty slut"" who was ""born wearing makeup."""
200407,other,"when he was near, he paddled around the creature, amazed at his beauty and strength."
200407,pageant/fashion show/model,"competitors were required to wear three different bathing suits (two bikinis and a one piece) and were put through a set of turns while being critiqued by nine judges, who tabulated scores based on stage presence, symmetry, overall beauty, hair and makeup among other things, says the 5-foot-6 luchka."
200407,other,"it was the west, its spirit, size and the beauty of the mountains that seduced him, and in a burst of craziness, jackson hit the trans canada highway."
200407,other,it's the beauty of a sunny summer day along the park and beach lining barrie's waterfront.
200407,other,beholding crumbling beauty.
200407,pageant/fashion show/model,"in november, chinese men will get a chance to flaunt their new look in the country's first mr china beauty pageant."
200407,product/service,"in recent months, doctors have traced the problems to what has apparently become a phenomenon among new york city's latinas: haphazard cosmetic surgery conducted in the dominican republic after being arranged through beauty salons in washington heights and other city neighborhoods."
200407,product/service,beauty salons are well established in today's image-obsessed china.
200407,product/service,beauty salons are well established in today's image-obsessed china.
200407,pageant/fashion show/model,"in november, chinese men will get a chance to flaunt their new look in the country's first mr china beauty pageant."
200407,other,"""we want people to appreciate manly beauty, which represents strength and courage."
200408,other,during her long life she enjoyed victoria's history and its beauty.
200408,other,during her long life she enjoyed victoria's history and its beauty.
200408,product/service,"and the other day i saw an ad for a beauty salon that said ""we keep you looking good."""
200408,magazine/book,"eschewing the formalities of transformation narratives, the author, without fanfare or fairy dust, has her heroine wake up and discover she is a dead-ringer for a supermodel the shift is distressing, because it is never explained, but perhaps this is friedman's point - the mechanics of change are irrelevant here, as the book's forceful, if not brute point is that beauty changes nothing but perception and is therefore irrelevant to its inhabitant."
200408,other,a graduation picture from st joseph's school in snyder taken years before offered a glimpse of jeannette's beauty.
200408,product/service,"for the women, it takes a few months of high priced beauty boot camp, and thousands of dollars in medical and makeup bills, but the end results are sometimes barely recognizable."
200408,other,"the true highlights here are the two siberry songs: love is everything (from 1993's when i was a boy, an album on which lang duetted with siberry on calling all angels) and the valley (from 1988's bound by the beauty)."
200408,other,"the true highlights here are the two siberry songs: love is everything (from 1993's when i was a boy, an album on which lang duetted with siberry on calling all angels) and the valley (from 1988's bound by the beauty)."
200408,other,"kristy odamura came as close as anyone has in five games, out on a dubious umpire's call in the fourth inning last night in what turned out to be another ho-hum, 7-0, mercy rule-shortened outing for people magazine beauty jennie finch and her american teammates."
200408,other,full text: ottawa -- whoever said beauty is only skin deep may have died too early -- and too ugly -- to be sure.
200408,movie/play/tv,"she has been quoted as saying she has not made ""the best choices"" since american beauty, and that if things do not turn around soon she'll sit at home with the doors closed and the phone off."
200408,other,shea butter's a beauty miracle.
200408,other,"in 1939, anne was in paris finishing a course at the ""oreal school of beauty"", with the war approaching and on the advice of the canadian consul, anne reluctantly returned home."
200408,other,"in 1939, anne was in paris finishing a course at the ""oreal school of beauty"", with the war approaching and on the advice of the canadian consul, anne reluctantly returned home."
200408,other,"it's also surrounded by a park that exemplifies the leafy, idyllic beauty braff finds so emblematic of the garden state."
200408,other,china embraces bourgeois beauty; maoist ideal gets a little nip and tuck.
200408,pageant/fashion show/model,"still, cosmetic surgery and beauty contests mark a dramatic departure from traditions that dictated modesty for women, who were not expected even to show their teeth when smiling."
200408,other,"it's also surrounded by a park that exemplifies the leafy, idyllic beauty braff finds so emblematic of the garden state."
200408,real beauty,"""i think we've become obsessed with beauty and the fountain of youth and frankly, personally, i'm really saddened by the way women mutilate their faces today in search of that."""
200408,real beauty,"beauty isn't scalpel deep, halle berry says."
200408,other,"beauty is essentially meaningless and it is always transitory."""
200408,product/service,"to make life easier and to address the problems of specific types of hair and lifestyles, beauty product manufactures have developed hair-specific shampoos."
200408,other,"beauty is essentially meaningless and it is always transitory."""
200409,real beauty,"a research consultant for the real truth about beauty: a global report, calls the results ""devastating,"" but is hopeful the study will act as a catalyst for a more diverse portrayal of women in popular culture."
200409,real beauty,"""women have an inability to feel like they count in the culture of beauty."""
200409,real beauty,"a research consultant for the real truth about beauty: a global report, calls the results ""devastating,"" but is hopeful the study will act as a catalyst for a more diverse portrayal of women in popular culture."
200409,real beauty,beauty: the 'real' truth.
200409,real beauty,"for canadian women, beauty not only skin deep:."
200409,real beauty,"a research consultant for the real truth about beauty: a global report, calls the results ""devastating,"" but is hopeful the study will act as a catalyst for a more diverse portrayal of women in popular culture."
200409,real beauty,"""women have an inability to feel like they count in the culture of beauty."""
200409,real beauty,"""women have an inability to feel like they count in the culture of beauty."""
200409,pageant/fashion show/model,colombian women's prison stages unique beauty pageant.
200409,pageant/fashion show/model,"beauty pageants have taken place in female prisons in colombia on and off for the last 20 years and hernandez said it's a good day for her ""girls."""
200409,other,"scores of scooters and motorized wheelchairs plod along busy streets to the wal-mart, restaurants and beauty salons."
200409,other,"scores of scooters and motorized wheelchairs plod along busy streets to the wal-mart, restaurants and beauty salons."
200409,other,"observers review the beauty of the vineyard, the care taken in its management and the quality of its fruit."
200409,pageant/fashion show/model,"beauty contests, too, have long been a target of islamic conservatives in indonesia and other parts of the world."
200409,other,"the result is peculiar beauty: three centuries of charmingly absurd advice (carroll & graf, $17.95), a compendium of ""the most bizarre bits of advice from this underappreciated genre, dating from the late 1700s up to today,"" downing writes."
200409,pageant/fashion show/model,"beauty contests, too, have long been a target of islamic conservatives in indonesia and other parts of the world."
200409,pageant/fashion show/model,"like most international beauty competitions, miss universe requires participants to appear in a swimsuit -- either a one-piece model or a bikini."
200409,pageant/fashion show/model,"beauty contests, too, have long been a target of islamic conservatives in indonesia and other parts of the world."
200409,other,"mccaig is also participating in ""backstage at the port"" on thursday, september 9 and beyond the call of beauty, september 10 & 11, as part of the infringing dance festival, september 9 - 12."
200409,other,"the result is peculiar beauty: three centuries of charmingly absurd advice (carroll & graf, $17.95), a compendium of ""the most bizarre bits of advice from this underappreciated genre, dating from the late 1700s up to today,"" downing writes."
200409,product/service,"aquolina pink sugar eau de toilette spray, $74 per 100ml from beauty mark.; rachel bilson (with former castmate samaire armstrong) is chic and stylish both on and off the o.c."
200409,other,"today, 500 years to the day that the icon of renaissance male beauty was unveiled for the people of florence, his host city is kicking off a year of events to celebrate david in style."
200409,real beauty,"however, on the physical level, in a society in which youthful beauty is emphasized and women are encouraged to endanger their health through plastic surgery to regain what they supposedly have lost with age, i'm proud to stand with the gorgeous women of the calendar as a natural ""unadulterated"" woman of 41 years of age."
200409,other,"when i suggest to joyce lau that a certain amount of, ahem, bitchiness had gone into her exhibition, ""joyce lau hollywood beauty secrets"" at the ryerson gallery opening to the public on wednesday, the 24-year-old photographer surprised me by pumping her fist into the air, as if she'd just thrown a three-pointer for the raptors."
200410,other,"illustration : a place of incredible beauty and serenity, lavender falls provides doug fisher with inspiration and contentment in life."
200410,product/service,"homefront also provides wigs, beauty tips, cheery cards, lawn cutting and snow shoveling for clients."
200410,magazine/book,"as part of its 25th birthday celebrations, flare, in addition to its regular october magazine, produced a special supplement called celebrating canadian beauty."
200410,real beauty,"the message, says flare editor lisa tant, ""is how diverse beauty is in this country."""
200410,other,"beauty nights, what are they?."
200410,product/service,an opportunity for beauty professionals to bond with disenfranchised women and youth by offering beauty services in shelter around the lower mainland.
200410,movie/play/tv,"classic and not so classic beauties and heroes -- shrek and princess fiona, shark lenny and angelfish angie, harry potter, sleeping beauty, snow white, cinderella, pirates, mermaids, fairies, bratz and divaz, catwomen, star wars storm troopers, firemen, nurses, cheerleaders and gothic goddesses -- will all join forces to celebrate the haunted holiday."
200410,other,"and there was always the exotic beauty to lull the most reticent guest into talking and, usually, sharing."
200410,magazine/book,"as part of its 25th birthday celebrations, flare, in addition to its regular october magazine, produced a special supplement called celebrating canadian beauty."
200410,real beauty,"the message, says flare editor lisa tant, ""is how diverse beauty is in this country."""
200410,real beauty,"""we need to take the shackles off beauty,"" says dove marketing manager erin iles."
200410,real beauty,"on some questions, canadian women appeared quite balanced about their beauty."
200410,other,"the 1998 ice storm in eastern canada precipitated their move to victoria and, although she lived in bc a relatively short time, maida quickly came to love the friendly associations and the relaxing atmosphere of the vancouver island lifestyle - magnificent scenery, natural beauty, hiking the coastal and woodland trails."
200410,movie/play/tv,illustration color billy crudup offers a sly performance in the film stage beauty.
200410,movie/play/tv,the sexual confusions in stage beauty comprise more than just art.
200410,real beauty,"whatever else it was (exhilarating, slightly goofy), the campaign was definitely a flip of the bird to traditional notions of mediated ""beauty."""
200410,real beauty,"whatever else it was (exhilarating, slightly goofy), the campaign was definitely a flip of the bird to traditional notions of mediated ""beauty."""
200410,movie/play/tv,"crudup says he was also lured by the fact that stage beauty is set in the theatre, which he calls ""a provocative environment for studying the way people interact."
200410,other,"absorbing the beauty of the seasons, with theologian hans urs von balthasar, i give thanks that god is beautiful and glorious."
200410,other,"outwardly he has the sleek and menacing beauty of his species, but his mouth is a mess."
200410,movie/play/tv,"stage beauty would be a strange way to break through into the hollywood a-list, but crudup, 36, has been on the verge of stardom for years."
200410,movie/play/tv,"crudup says he was also lured by the fact that stage beauty is set in the theatre, which he calls ""a provocative environment for studying the way people interact."
200410,movie/play/tv,"she's been in two movies so far this year, barbershop 2 and the cookout, with two more, taxi and beauty shop, on the way."
200410,movie/play/tv,"the fight for respect for women is one of the themes of stage beauty, and danes says that there is still some resistance to female performers."
200410,other,"ernestine, the irascible telephone operator will be along, complete with snort, as well as edith ann, the devilish little six- year-old with the raspberry lisp, madame lupe, the world's oldest living beauty expert, bobbi-jeanine, the cocktail organist extraordinaire, wanda v."
200410,real beauty,"yet in a 2001 survey she cites by clairol on attitudes to female beauty, both men and women named personality the most important element in attractiveness."
200410,physical beauty,"other pieces are gently reflective, such as valerie sovran mitchell's rendition of how she came to terms with her unruly italian curls -- and the fact that she'd never look like silver- blonde beauty sharon johnson -- when her babies played with them, digging in their fists and pulling mamma close."
200411,real beauty,"this led her to create her own calendar, beauty and brains 2005, featuring women of different ages, weights, ethnicities and backgrounds."
200411,other,1 by calling 1-403-710-9790 or by e-mail at beautyandbrains2005@hotmail.com.
200411,other,"other parts of the beautification ceremony include a ritual in which a yellow spice is pasted to bride and groom to enhance their beauty.; colour arlen redekop, the province / laureen singh's hands and feet are intricately decorated in mehndi, the 5,000-year- old art of applying natural dye to the body."
200411,other,"former school -- located on petherick's road, this former school is a beauty -- red roof, bell tower and all."
200411,other,"there are rumours about the rumours, but the truth is that lou rumour, just janelle and melissa starr are still the hottest glam girl goth punk rock outfit this side of 1988, and drummer steve senyk rides his rolling machine through the chaos of beauty."
200411,other,"the merchants also include lewis food market, dean heights beauty salon, buttons-n-bows, charelli's deli and catering, robertshaw pies, toria's coffee house and the shoebox garden centre."
200411,pageant/fashion show/model,"illustration former beauty queen linda hardy stars as the frequently undressed jill bioskop, possessor of secret powers in an extremely precarious future world, in enki bilal's film immortal."
200411,movie/play/tv,"the concept has roots in the beauty train, her self-produced talk show pilot that never got picked up (although devotees can buy the dvd on her web site)."
200411,other,e-mail your beauty dilemmas to.
200411,other,"below, the courthouse in welland.; : ; : the welland river is a natural and economic beauty."
200411,product/service,"full text: boutique serenite, 87 yorkville st gardening accessories, beauty products, home accessories and food items, all imported from france and conveying a feeling of aristocratic luxury."
200411,movie/play/tv,"much of the beauty of the play stems from its unconventional staging, but the greatness of the play comes from williams' honest communication of human suffering."
200411,other,"the mac aids fund was born out of a sense of personal loss, explains demsey, newly named as the global president of estee lauder cos., because the fashion and beauty industries were disproportionately affected by the disease in its early years."
200411,other,the beauty and variety of the countryside is breathtaking.
200411,magazine/book,"those are some of the reasons graydon wrote the recently published in your face: the culture of beauty and you (annick press, $16.95), an eye-opening guide aimed at teens that encourages them to start thinking critically about the beauty industry."
200411,other,such beauty moved mccrae to pen the poem that has become the standard for almost any remembrance or memorial service.
200411,other,cheryl ruddock's plant images show beauty in environment.
200411,product/service,"sephora has turned the beauty industry on its ear with its ""shopping as entertainment"" approach."
200411,other,"it is from the bovine circles of the esteemed royal agricultural winter fair - that ancient and revered bastion of agricultural standards - where, dear reader, we have found the tragic results of our quest for beauty."
200411,product/service,joncas is a canadian entrepreneur who has been on the front lines of beauty as a sales representative for a skin care company.
200412,movie/play/tv,wholesome beauty whose shocking murder in hitchcock thriller psycho is a landmark of film.
200412,movie/play/tv,wholesome beauty whose shocking murder in hitchcock thriller psycho is a landmark of film.
200412,movie/play/tv,illustration colour billy crudup and claire danes star in stage beauty.
200412,product/service,"simpson started dessert beauty, a collection of candy-scented body lotions, lip glosses and fragrances."
200412,real beauty,"interestingly, the final chapter is about spirituality, in keeping with his philosophy that ""beauty is the result of a quality of being, not the result of the arrangement of our physical characteristics."""
200412,product/service,new york times patents columnist teresa riordan joyfully traces a century's worth of products and devices that women have employed in the pursuit of beauty.
200412,product/service,"simpson started dessert beauty, a collection of candy-scented body lotions, lip glosses and fragrances."
200412,other,"she avoided singing in any language other than italian, deeming french too nasal and german too guttural, always afraid to compromise the beauty of her sound in her native tongue."
200412,product/service,"sutherland said since the flood relief office is winding down, the age of beauty calendars will be for sale at the mayor's office."
200412,other,"long ago in ancient times, frigga, goddess of beauty, love and marriage and wife of powerful odin, sat working at her loom toward the end of winter solstice."
200412,product/service,"beauty retailer, has 3,600 products listed on the amazon beauty site, though binder doesn't consider it a competitor because it focuses on mainstream cosmetics and not saffron rouge's niche: high-quality organic cosmetics and bodycare products."
200412,product/service,"kirstin binder was interested in organic beauty products and launched saffron, named after the couple's two-year-old daughter, out of the family's guelph home in 2001, originally as an internet website."
200412,real beauty,"""i want to send a message to society that the love of beauty is not limited by age,"" the oldest contestant said on the contest website."
200412,other,"i wanted to rush over to find out what the conversation was about, but was too moved by the beauty of the scene to ruin it with my curiosity."
200412,product/service,two dollars from each tube sold anywhere across canada goes directly to the beauty night society.
200412,other,"peals of laughter fill the room as cooper and his friends reminisce about cooper's career as a nightclub owner, a female impersonator and a hair and beauty stylist, and about how they all discoed their way through the '70s."
200412,magazine/book,"history of beauty, edited by umberto eco."
200412,magazine/book,"history of beauty is the rare art book that begins with a chapter on the aesthetic ideal in ancient greece, faced by a photograph of a 6th-century b.c."
200412,other,"press, who are serving it up this week in the form of crime-scene photographs of ""the horror under the tree,"" ""the suspicious golf clubs,"" ""the dismantled toilet"" and ""sleeping beauty's bedroom."""
200412,product/service,"barbie eau de toilette will land in shoppers drug mart stores just in time for holiday shopping, says a press release from martha brady, the general manager of puig prestige beauty, the barcelona, spain company behind such major fashion fragrance-maker as prada and carolina herrera."
200412,real beauty,"interestingly, the final chapter is about spirituality, in keeping with his philosophy that ""beauty is the result of a quality of being, not the result of the arrangement of our physical characteristics."""
200412,pageant/fashion show/model,the beauty queens opening reception dec.
200412,other,the power and the beauty:.
200412,other,"the night has been retrieved for the justice, safety and beauty that it was meant to hold."
200412,movie/play/tv,"the story of beauty and the beast is about belle, a young woman in a provincial french town, and the beast, who is really a young prince trapped in a spell by an evil enchantress."
200412,product/service,"for evening of latest beauty products, including application techniques."
200412,other,"i'm always wanting to go away to find beauty, excitement and adventure."
200501,other,"christianity was a big part of ruth's people and she fondly remembers the beauty of the church at christmas - the scent from the spruce boughs that decorated the church, the glow from the gas lamps and the wood stove that provided warmth and comfort from the cold."
200501,movie/play/tv,"the wb network has announced that ashton kutcher, the genius behind punk'd, will do a new series called beauty and the geek."
200501,other,"picture 20 green-faced partiers noshing nori, and you have the ultimate face of backstreet beauty."
200501,movie/play/tv,"the wb network has announced that ashton kutcher, the genius behind punk'd, will do a new series called beauty and the geek."
200501,pageant/fashion show/model,"full text: regina fashion designer dean renwick promises to turn heads and raise eyebrows with his runway offerings saturday night at the pure woman gala and live fashion, beauty and art show in the cornwall centre."
200501,movie/play/tv,mat presents stage beauty tonight.
